"nr","label","producer","propertyNum1","propertyNum2"
"1","panache chewed","1","831","312"
"10","blotchy unicyclist pleasantly","1","133","141"
"100","picketed","3","1066","876"
"1000","ohms","22","831","409"
"10000","arizonian","206","1053","1278"
"10001","spreadsheet incas","206","52","367"
"10002","paymasters undoubted pashes","206","659","110"
"10003","tuxes casted","206","1575","21"
"10004","hup momentously reengaged","206","1062","1477"
"10005","planking","206","402","104"
"10006","wrapt defenses bicolors","206","118","142"
"10007","bugles","206","443","564"
"10008","afterburners ailurophobe cynical","206","437","542"
"10009","excreting","206","1444","537"
"1001","unabsorbent explicated","22","220","1154"
"10010","menstrual","206","1258","653"
"10011","misbehaving dispossessed","206","1515","1705"
"10012","flamboyancy","206","75","325"
"10013","ostracods","206","1196","775"
"10014","aflatoxin millennial","206","1307","1158"
"10015","asthmas","206","137","126"
"10016","voyageurs driftway","206","1844","50"
"10017","berceuses frowardness toilful","206","450","306"
"10018","stripings bumpy","206","236","1030"
"10019","unum toughs","206","403","854"
"1002","camped grandtotal","22","1409","608"
"10020","hunkered literati","206","442","1325"
"10021","oilstone garlands alliterations","206","1094","1667"
"10022","craniums ogees","206","131","122"
"10023","ingots sneezy teargases","206","45","232"
"10024","vowelizes","206","1773","1189"
"10025","mishears engraining","206","745","785"
"10026","senseless assiduously","206","1181","1709"
"10027","woefully heliographs","206","554","953"
"10028","victualer musculatures","206","1195","938"
"10029","sheeny","206","1079","793"
"1003","unfortunates","22","266","231"
"10030","repellents","206","1601","1080"
"10031","confusingly","206","1128","1994"
"10032","desiccatory decisiveness","207","176","146"
"10033","skinheads telephoning slapper","207","1144","885"
"10034","jiminy","207","1186","1566"
"10035","annattos advertisers shipwrights","207","1124","686"
"10036","reprocessing matt abaft","207","836","1659"
"10037","lexicographer supernovas","207","976","448"
"10038","pathogens","207","351","1097"
"10039","clotured frets","207","917","723"
"1004","infarcts","22","1362","354"
"10040","telecasters barkentine daubery","207","214","480"
"10041","recreating ropewalks crumblings","207","647","404"
"10042","sexologies muskets laminator","207","1516","1070"
"10043","delicto","207","1409","121"
"10044","advantaged questions","207","483","552"
"10045","quids","207","597","361"
"10046","alertest enlists unpoetic","207","744","478"
"10047","martially circularizing","207","628","850"
"10048","exculpations","207","904","1894"
"10049","wheedles","207","764","58"
"1005","poisoner freely","22","479","231"
"10050","thirties","207","870","1584"
"10051","abandoned","207","441","699"
"10052","plinks","207","1200","736"
"10053","peripherals neatest copyists","207","1524","1034"
"10054","heehawing","207","337","746"
"10055","atoll cymbalists qui","207","501","595"
"10056","misconception lorn brawlier","207","824","705"
"10057","contractile kepis","207","305","513"
"10058","looking hyphenation","207","222","222"
"10059","alcazars dandles","207","707","522"
"1006","overattentive","22","1462","320"
"10060","procedurals almshouse","207","887","1145"
"10061","dyspepsia hummer consolidated","207","774","496"
"10062","florists","207","739","1340"
"10063","praying harriers discredited","207","981","1119"
"10064","scanners dehorning","207","417","553"
"10065","nutters dollish weightier","207","615","1582"
"10066","erectly dupers","207","44","218"
"10067","irrevocableness","207","578","201"
"10068","dietetically","207","318","1782"
"10069","preshape activeness dreidels","207","234","267"
"1007","biophysiography adorer bowshots","22","599","883"
"10070","pharyngectomy donatives","207","165","831"
"10071","transferer jiff","207","254","512"
"10072","parricide","207","884","195"
"10073","hypochondriac psalming","207","397","910"
"10074","unsteadier","207","1124","570"
"10075","hypnotics crating","208","323","546"
"10076","blitzkrieged odalisks catalyzers","208","617","503"
"10077","tripper","208","8","1797"
"10078","tuner reelects","208","590","1070"
"10079","recognized archangels yodling","208","1023","267"
"1008","modules involutions","22","531","669"
"10080","disclosed terming","208","223","756"
"10081","puncturing crackers","208","75","1011"
"10082","numbly burgundies","208","861","1312"
"10083","minify misdefined","208","1813","79"
"10084","defoliants","208","1170","254"
"10085","patterning jugular choirs","208","529","738"
"10086","decorums hungerless","208","860","923"
